brand,model,generation,year,fuel_type,transmission,engine_cc,horsepower,top_speed,weight,fuel_consumption,price_eur,scraped_at,price_usd
Porsche,911,Porsche 911 Carrera T Cabriolet,2024,Petrol,Automatic,3996.0,394.0,293.0,1555.0,10.7,231378,2026-07-02 12:07:04,270712.26
BMW,8 Series,BMW 8-Series M8 Competition Coupé,2018,Petrol,Automatic,4395.0,625.0,250.0,1875.0,10.5,231573,2026-07-02 12:07:03,270940.41
Mercedes-Benz,S Class,Mercedes-Benz S-Class S 63 AMG 4MATIC Long,2017,Petrol,Automatic,2999.0,612.0,250.0,1970.0,11.2,231577,2026-07-02 12:07:01,270945.09
Porsche,911,Porsche 911 Carrera GTS Cabriolet,2019,Petrol,Automatic,3996.0,480.0,309.0,1590.0,10.9,231783,2026-07-02 12:06:58,271186.11
Porsche,911,Porsche 911 Carrera Turbo Cabriolet,2015,Petrol,Automatic,3996.0,540.0,320.0,1640.0,9.3,231828,2026-07-02 12:06:57,271238.76
Porsche,Panamera,Porsche Panamera Turbo Executive,2016,Petrol,Automatic,2894.0,550.0,306.0,2075.0,10.6,226863,2026-07-02 12:08:00,265429.71
Toyota,Yaris,Toyota Yaris 1.5 Hybrid Energy Plus,2017,Hybrid,Automatic,1490.0,75.0,165.0,1060.0,3.3,232395,2026-07-02 12:06:53,271902.15
Land Rover,Range Rover,Land Rover Range Rover 5.0 V8 Supercharged Autobiography LWB,2017,Petrol,Automatic,5000.0,525.0,225.0,2383.0,12.8,232664,2026-07-02 12:06:51,272216.88
BMW,8 Series,BMW 8-Series M8 Gran Coupé,2022,Petrol,Automatic,4395.0,600.0,250.0,1970.0,10.7,232722,2026-07-02 12:06:47,272284.74
Ferrari,Purosangue,Ferrari Purosangue Purosangue,2023,Petrol,Automatic,6496.0,780.0,310.0,2033.0,6.1,600084,2026-07-02 11:51:22,702098.28
Ferrari,812,Ferrari 812 Competizione,2020,Petrol,Automatic,6496.0,830.0,340.0,1487.0,14.9,623667,2026-07-02 11:51:14,729690.39
Rolls-Royce,Phantom,Rolls-Royce Phantom EWB,2018,Petrol,Automatic,6749.0,571.0,250.0,2610.0,13.9,650890,2026-07-02 11:51:10,761541.3
Ferrari,812,Ferrari 812 Competizione A,2020,Petrol,Automatic,6496.0,830.0,340.0,1487.0,14.9,710440,2026-07-02 11:51:07,831214.8
Land Rover,Range Rover,Land Rover Range Rover D350 Autobiography,2022,Petrol,Automatic,2997.0,350.0,234.0,2505.0,7.6,231012,2026-07-02 12:07:08,270284.04
Aston Martin,Dbs,Aston Martin DBS 5.2 V12 Superleggera,2019,Petrol,Automatic,5204.0,725.0,340.0,1693.0,12.4,374886,2026-07-02 11:53:24,438616.62
Porsche,911,Porsche 911 Turbo S 50 Years Coupé,2019,Petrol,Automatic,3996.0,650.0,330.0,1615.0,11.2,375570,2026-07-02 11:53:22,439416.9
Bentley,Flying Spur,Bentley Flying Spur 6.0 W12,2020,Petrol,Automatic,3996.0,635.0,333.0,2337.0,14.0,383007,2026-07-02 11:53:12,448118.19
Bentley,Bentayga,Bentley Bentayga EWB V8 Azure,2020,Petrol,Automatic,3996.0,550.0,290.0,2414.0,12.0,385621,2026-07-02 11:53:10,451176.57
Ferrari,488,Ferrari 488 Spider Pista,2015,Petrol,Automatic,3902.0,670.0,325.0,1420.0,11.4,389635,2026-07-02 11:53:05,455872.95
Bentley,Bentayga,Bentley Bentayga W12 Speed,2020,Petrol,Automatic,3996.0,635.0,306.0,2408.0,14.3,390000,2026-07-02 11:53:03,456300.0
Porsche,Cayenne,Porsche Cayenne Turbo,2017,Petrol,Automatic,2995.0,550.0,286.0,2150.0,11.4,236517,2026-07-02 12:05:45,276724.89
Audi,R8,Audi R8 Coupé V10 quattro,2016,Petrol,Automatic,5204.0,540.0,320.0,1570.0,11.4,237350,2026-07-02 12:05:38,277699.5
Porsche,911,Porsche 911 Carrera S Cabriolet,2024,Petrol,Automatic,3996.0,480.0,308.0,1600.0,10.5,237478,2026-07-02 12:05:34,277849.26
Porsche,Cayenne,Porsche Cayenne GTS Coupé,2023,Petrol,Automatic,2995.0,500.0,275.0,2195.0,12.6,237610,2026-07-02 12:05:32,278003.7
Land Rover,Range Rover,Land Rover Range Rover P530 First Edition,2022,Petrol,Automatic,4395.0,530.0,250.0,2585.0,11.7,239361,2026-07-02 12:05:22,280052.37
Maserati,Grancabrio,Maserati GranCabrio Sport,2018,Petrol,Automatic,4691.0,460.0,288.0,1880.0,14.5,239368,2026-07-02 12:05:20,280060.56
Aston Martin,Dbs,Aston Martin DBS Volante 5.2 V12 Superleggera,2020,Petrol,Automatic,5204.0,725.0,340.0,1863.0,12.4,409938,2026-07-02 11:52:41,479627.46
McLaren,765Lt,McLaren 765LT 765LT,2020,Petrol,Automatic,3994.0,765.0,330.0,1229.0,13.0,412000,2026-07-02 11:52:40,482040.0
Porsche,911,Porsche 911 Carrera S/T Coupé,2019,Petrol,Automatic,3996.0,525.0,300.0,1355.0,13.8,422183,2026-07-02 11:52:33,493954.11
Bentley,Mulsanne,Bentley Mulsanne Speed,2017,Petrol,Automatic,6752.0,537.0,305.0,2585.0,15.0,425477,2026-07-02 11:52:31,497808.09
Bentley,Bentayga,Bentley Bentayga EWB V8 Mulliner,2020,Petrol,Automatic,3996.0,550.0,290.0,2414.0,12.0,425887,2026-07-02 11:52:30,498287.79
Bentley,Continental,Bentley Continental GTC 6.0 W12 Speed,2019,Petrol,Automatic,3996.0,659.0,335.0,2336.0,13.7,426731,2026-07-02 11:52:28,499275.27
Rolls-Royce,Cullinan,Rolls-Royce Cullinan Cullinan,2019,Petrol,Automatic,6749.0,571.0,250.0,2660.0,15.0,432485,2026-07-02 11:52:22,506007.45
Rolls-Royce,Ghost,Rolls-Royce Ghost EWB,2020,Petrol,Automatic,6749.0,571.0,250.0,2530.0,15.3,438881,2026-07-02 11:52:19,513490.77
Bentley,Continental,Bentley Continental GT 6.0 W12 Speed,2018,Petrol,Automatic,3996.0,659.0,335.0,2173.0,13.5,392201,2026-07-02 11:53:01,458875.17
McLaren,750S,McLaren 750S Spider,2023,Petrol,Automatic,3994.0,750.0,332.0,1438.0,12.2,393074,2026-07-02 11:52:59,459896.58
Ferrari,812,Ferrari 812 Superfast,2017,Petrol,Automatic,6496.0,800.0,340.0,1525.0,14.9,393865,2026-07-02 11:52:57,460822.05
Bentley,Mulsanne,Bentley Mulsanne Mulsanne,2017,Petrol,Automatic,6752.0,512.0,296.0,2585.0,15.0,398300,2026-07-02 11:52:55,466011.0
Rolls-Royce,Ghost,Rolls-Royce Ghost Ghost,2020,Petrol,Automatic,6749.0,571.0,250.0,2490.0,15.2,400939,2026-07-02 11:52:51,469098.63
Mercedes-Benz,G Class,Mercedes-Benz G-Class G 65 AMG,2015,Petrol,Automatic,3982.0,630.0,230.0,2480.0,17.0,402032,2026-07-02 11:52:48,470377.44
Bentley,Bentayga,Bentley Bentayga EWB V8,2020,Petrol,Automatic,3996.0,550.0,290.0,2414.0,12.0,352473,2026-07-02 11:54:19,412393.41
Porsche,911,Porsche 911 GT2 RS,2015,Petrol,Automatic,3996.0,700.0,340.0,1445.0,11.8,353285,2026-07-02 11:54:14,413343.45
Porsche,911,Porsche 911 Turbo S Coupé,2024,Petrol,Automatic,3996.0,640.0,322.0,1700.0,11.5,355078,2026-07-02 11:54:12,415441.26
McLaren,750S,McLaren 750S 750S,2023,Petrol,Automatic,3994.0,750.0,332.0,1389.0,12.2,358174,2026-07-02 11:54:04,419063.58
Ferrari,488,Ferrari 488 GTB Pista,2015,Petrol,Automatic,3902.0,670.0,330.0,1370.0,11.4,359484,2026-07-02 11:53:59,420596.28
Maserati,Mc20,Maserati MC20 Cielo,2023,Petrol,Automatic,3000.0,630.0,320.0,1540.0,11.5,360450,2026-07-02 11:53:57,421726.5
